audit_id,c1_candidate_id,m1_pair_id,id,context,question,chosen,m1_rejected,m1_error_type,target_causal_role,c1_rejected,donor_id,donor_context,donor_question,donor_causal_role,causal_role_match,selection_tier,m1_rejected_tokens,c1_rejected_tokens,absolute_token_difference,relative_token_difference,candidate_content_coverage_in_context,rejected_length_bin,audit_label,notes
C1X030,c1_v7_candidate_0023,m1_v6_screened_0023,1307,"• The largest increases were in Spain due to the acquisition of Banco Popular; SCF, because of higher releases and portfolio sales in 2017, although its cost of credit remained below the standards for this business; and Argentina due to higher provisions for individual customers and the impact of the peso's depreciation on dollar balances.",What caused the increases in Argentina?,higher provisions for individual customers and the impact of the peso's depreciation on dollar balances,higher provisions for individual customers,incomplete,cause,This approval process remains ongoing,393,"In October 2016, we announced an implementation agreement to sell ACR to two Shenzhen government sponsored investment companies, subject to regulatory and other approvals. This approval process remains ongoing and, as a result, we did not value ACR on an imminent sales basis as at 31 March 2017.",Why did they not value ACR on an imminent sales basis as of 31 March 2017?,cause,True,1,5,5,0,0.0,0.0,very_short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X031,c1_v7_candidate_0109,m1_v6_screened_0109,85,Finance costs have increased by £2.9 million during the year as a result of increased margins applicable under the revolving credit facility and the full year impact of the interest rate swap taken out in July 2016. Net debt has reduced during the year by £55.9 million to £192.0 million.,Why have finance costs increased by £2.9 million during the year?,increased margins applicable under the revolving credit facility and the full year impact of the interest rate swap taken out in July 2016,increased margins applicable under the revolving credit facility,incomplete,cause,the dividend payments and the purchase of own shares,319,"Total current assets decreased to US$118.4 million (2016: US$ 125.7 million), with cash decreasing primarily as a result of the dividend payments and the purchase of own shares. Current liabilities increased to US$25.1 million (2016: US$ 11.7 million) mainly due to the merchant processing liabilities of US$11.0 million and increase",What factor contributed to the decrease in total current assets to US$118.4 million?,cause,True,1,9,9,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X032,c1_v7_candidate_0004,m1_v6_screened_0004,380,"The Group's outcome-orientated approach, which focuses on tailoring solutions using the Group's various skillsets in order to achieve client outcomes, has conduct at its core. Therefore, in assessing the Group's risks, the Directors have considered the FCA's 11 principles for businesses.",What motivated the Directors to consider the FCA's 11 principles for business when assessing the Group's risk?,"The Group's outcome-orientated approach, which focuses on tailoring solutions using the Group's various skillsets in order to achieve client outcomes, has conduct at its core","The Group's outcome-orientated approach, which focuses on tailoring solutions using the Group's various skillsets",incomplete,other,delays in fitting prepayment meters following service level issues with one of our meter operators ('MOPs'),1535,"The number of prepayment meters we installed during the year, many of which were provided at the Member's own request, fell to 5,357 (2016: 6,775), partly due to delays in fitting prepayment meters following service level issues with one of our meter operators ('MOPs')","What contributed to the decrease in the number of prepayment meters installed during the year, falling to 5,357 from 6,775 in 2016?",other,True,1,22,22,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X033,c1_v7_candidate_0138,m1_v6_screened_0138,107,"Our mission to provide the best customer experience has led to an increased level of specialisation and customisation, and, as a result, the creation of specialised businesses/centres where expert managers offer the specific and customised financial advice services that our customers deserve. For this reason, we have created segments and divisions with specific knowledge bases.",What was the result of the mission to provide the best customer experience?,"an increased level of specialisation and customisation, and, as a result, the creation of specialised businesses/centres where expert managers offer the specific and customised financial advice services that our customers deserve",an increased level of specialisation and customisation,incomplete,other,these include matters which the Committee considers commercially sensitive,1721,"The Committee has chosen not to disclose, in advance, the financial performance targets for the forthcoming year as these include matters which the Committee considers commercially sensitive.",What drove the Committee's decision not to disclose the financial performance targets for the forthcoming year in advance?,other,True,1,9,9,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X034,c1_v7_candidate_0040,m1_v6_screened_0040,804,EBITDA growth resulted from the credit positive performances of Distribution and IT Solutions and a reduction in net indirect costs as a consequence of the adoption of IFRS 16 in 2018.,What prompted the EBITDA growth?,the credit positive performances of Distribution and IT Solutions and a reduction in net indirect costs as a consequence of the adoption of IFRS 16 in 2018,the credit positive performances of Distribution and IT Solutions,incomplete,other,their wise counsel during their time on the Board,779,I would like to thank Adrian for his extraordinary contribution as Chairman and to add my thanks to Ken Hydon and Judy Sprieser for their wise counsel during their time on the Board. RB is an outstanding company and it is an honour to follow Adrian as Chairman.,What contributions of Ken Hydon and Judy Sprieser have led to the appreciation and thanks they receive?,other,True,1,9,9,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X035,c1_v7_candidate_0192,m1_v6_screened_0192,1507,"FTSE Russell revenue increased by 15%, with performance in line with the Group's announced double-digit growth target for FTSE Russell revenue. This performance was driven by increases in AUM levels in benchmarked ETFs and other investable products, as well as strong subscription renewal rates and data sales.","What factors contributed to the Group's performance being in line with the double-digit growth target for FTSE Russell revenue, which increased by 15%?","increases in AUM levels in benchmarked ETFs and other investable products, as well as strong subscription renewal rates and data sales","in AUM levels in benchmarked ETFs and other investable products, as well as strong subscription renewal rates and data sales",incomplete,cause,"branch and selling costs, central costs and exceptional items (non-finance) are allocated centrally rather than to each reportable segment",1726,"2 These measures are not reported on a segmental basis because branch and selling costs, central costs and exceptional items (non-finance) are allocated centrally rather than to each reportable segment.",What is the reason these measures are not reported on a segmental basis?,cause,True,1,25,25,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X036,c1_v7_candidate_0051,m1_v6_screened_0051,1034,"However, our customer service metrics remain exceptional across all of the countries in which we operate because we make it our mission to care more and we continue to innovate to create the best customer experience for tomorrow.",What is the reason their customer service metrics remain exceptional across all of the countries?,we make it our mission to care more and we continue to innovate to create the best customer experience for tomorrow,we make it our mission to care more,incomplete,cause,the strong performance of the Upstream segment,1021,"The increase in operating income (€+1.181 million; +37%), owing to the strong performance of the Upstream segment, drove EBITDA upward by +12%.",What reason was behind the increase in operating income (€+1.181 million; +37% driving EBITDA upward by +12%)?,cause,True,1,8,8,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X037,c1_v7_candidate_0106,m1_v6_screened_0106,1408,"This compliance system is based on the principle of due control given that, a) Compliance risks are regularly analysed; b) Expected behaviours are carefully defined in the Code of Ethics, which is given to all employees; c) There is an independent prevention and compliance body that has the resources to assess the effectiveness of the model, reporting directly to the Board of Directors; d) A procedure has been put in place to anonymously and confidentially report any irregularities.",What factors lead to the compliance system being based on the principle of due control?,"Compliance risks are regularly analysed; b) Expected behaviours are carefully defined in the Code of Ethics, which is given to all employees; c) There is an independent prevention and compliance body that has the resources to assess the effectiveness of the model, reporting directly to the Board of Directors; d) A procedure has been put in place to anonymously and confidentially report any irregularities","Compliance risks are regularly analysed; b) Expected behaviours are carefully defined in the Code of Ethics, which is given to all employees; c) There is an independent prevention and compliance body that has the resources to assess the effectiveness of the model, reporting directly to the Board of Directors",incomplete,cause,"the inclusion of profit due to the minority interests of Inversiones Finisterre, following that acquisition in the last quarter of 2017, as well as to the one-third minority investors in Karco Engineering, acquired by the Group in May 2018",140,"Non-controlling interests increased from €10.0 million in 2017 to €19.0 million in 2018. The increase of €9.0 million in the period is mostly due to the inclusion of profit due to the minority interests of Inversiones Finisterre, following that acquisition in the last quarter of 2017, as well as to the one-third minority investors in Karco Engineering, acquired by the Group in May 2018, but also includes profit growth from other non wholly-owned subsidiary investments.",To what factors is the increase in non-controlling interests (from €10.0m in 2017 to €19.0m in 2018) attributable?,cause,True,1,56,56,0,0.0,0.05,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X038,c1_v7_candidate_0114,m1_v6_screened_0114,347,"Due to the modest size of the Group, the Board is able to maintain a close direct control over all activities of the Group and does not believe it would be cost efficient to operate a separate internal audit function.",What are the implications of the Group's modest size?,the Board is able to maintain a close direct control over all activities of the Group and does not believe it would be cost efficient to operate a separate internal audit function,the Board is able to maintain a close direct control over all activities of the Group,incomplete,effect,"no consultation of employees is required, and there is no employee comparative data to provide",1661,"The Company has no Chief Executive Officer and no employees and therefore no consultation of employees is required, and there is no employee comparative data to provide, in relation to the setting of the remuneration policy for Directors. The Company has not sought shareholder views on its remuneration policy.",What are the implications of the Company having no Chief Executive Officer and no employees?,effect,True,1,16,16,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X039,c1_v7_candidate_0058,m1_v6_screened_0058,656,The unchanged capacity and fall in revenue and underlying EBITDA in Foster Care is due to the competitive nature of the market as well the change to family assessments in the home. It is also due to capacity being reported on the basis of the children that carers are able,What reasons explain the unchanged capacity and the fall in revenue and underlying EBITDA in Foster Care?,the competitive nature of the market as well the change to family assessments in the home,the competitive nature of the market,incomplete,cause,uncertain tax position provision releases,1573,The effective tax rate on adjusted earnings in 2017 was 11.1% compared with an effective rate of 16.5% in 2016. The decrease in tax rate was primarily due to uncertain tax position provision releases due to the expiry of relevant statutes of limitation.,What is the reason tax rate decreased?,cause,True,1,6,6,0,0.0,0.0,very_short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X040,c1_v7_candidate_0011,m1_v6_screened_0011,1115,"The bank's interest rate risk was also monitored and managed, and it was maintained at acceptable levels. Indeed, the positioning of the fixed income ALCO portfolio and the balance sheet hedges mitigated the adverse effect of the Euribor interest rates, to which the majority of the bank's loans are referenced.",What contributed to offsetting the adverse effect of the Euribor interest rates?,the positioning of the fixed income ALCO portfolio and the balance sheet hedges,the positioning of the fixed income ALCO portfolio,incomplete,other,the spike in demand for the production of electricity,677,"The average Henry Hub US natural gas price reference for Repsol was $3.1/MBtu (in line with 2017 data). The supply of natural gas in the United States continued to grow at significant rates for both dry gas and gas associated with the production of oil. On the demand side, the increase in the exports of liquefied natural gas (LNG) and the spike in demand for the production of electricity were key factors. The latter was due to the switch from coal as a production fuel. Inventories at the end of December were 19% lower than both the level reached in 2017 and the historic average over the past five years.",What did the switch from coal as a production fuel entail at Repsol in the United States?,other,True,1,9,9,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X041,c1_v7_candidate_0059,m1_v6_screened_0059,1595,"The approach to data analytics performed by KPMG expands their audit coverage to 100% of revenue, which together with the data analytics performed by management has led to increased overall assurance in this area.",What are the factors contributing to the increase in overall assurance in this area?,"The approach to data analytics performed by KPMG expands their audit coverage to 100% of revenue, which together with the data analytics performed by management",The approach to data analytics performed by KPMG expands their audit coverage to 100% of revenue,incomplete,cause,the cost of acquisitions and capital expenditure and the conversion of £19.3 million convertible bonds in the year,94,The strong growth in the valuation of the portfolio has seen the loan to value ratio fall to 52.9% (2016: 53.7%) despite the total level of net debt rising by £64.6 million in the year due to the cost of acquisitions and capital expenditure and the conversion of £19.3 million convertible bonds in the year.,What caused the loan-to-value ratio to decrease to 52.9% despite a £64.6 million increase in net debt during the year?,cause,True,1,22,22,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X042,c1_v7_candidate_0070,m1_v6_screened_0070,1329,"The non-standard nature of the properties within the commercial mortgage portfolio means that there are also a number of loans that are not past due or are past due by less than three months at the reporting date, but where objective evidence indicates that losses are likely. A total individual impairment provision of £7.7m (2016: £8.4m), as shown in note 16 to the Accounts, is held against these accounts and the individually impaired loans in the above tables.",What are the implications of the non-standard nature of the properties within the commercial mortgage portfolio?,"there are also a number of loans that are not past due or are past due by less than three months at the reporting date, but where objective evidence indicates that losses are likely",there are also a number of loans that are not past due or are past due by less than three months at the reporting date,incomplete,effect,"Barclays PLC, Barclays Bank PLC and BUSL have elected to be treated as financial holding companies under the BHC Act",1864,"Because the BHC Act generally restricts the activities of BHCs to banking and activities closely related to banking, Barclays PLC, Barclays Bank PLC and BUSL have elected to be treated as financial holding companies under the BHC Act.",What is the consequence of the BHC Act generally restricting the activities of BHCs to banking and closely related activities?,effect,True,1,25,25,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X043,c1_v7_candidate_0163,m1_v6_screened_0163,1173,"As a result of all this investment, combined with an additional effort to improve operational efficiency, the group expects to improve its results to between 3,700 and 3,900 million euros of net profit by 2022, a 30% increase over the 2018 results.",What is the outcome of the investments and the focus on operational efficiency?,"the group expects to improve its results to between 3,700 and 3,900 million euros of net profit by 2022, a 30% increase over the 2018 results","to between 3,700 and 3,900 million euros of net profit by 2022",incomplete,effect,Return on average operating capital decreased from 55.9% in 2016 to 53.1%,1444,"At constant exchange rates, revenue increased by 10% and adjusted operating profit rose by 6% with the Group operating margin declining from 7.1% to 6.9%. Adjusted earnings per share were up 7%. Return on average operating capital decreased from 55.9% in 2016 to 53.1% due to a lower operating margin.",What did a lower operating margin lead to?,effect,True,1,26,26,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X044,c1_v7_candidate_0230,m1_v6_screened_0230,411,"In 2017, the Committee received advice from Deloitte LLP ('Deloitte'), who they appointed in 2015 for their particular expertise both at a local and global level, due to the worldwide operations of the Group and, following review, the Committee remains satisfied that their advice is objective and independent.",What explains Deloitte's particular expertise at both the local and global levels?,the worldwide operations of the Group,"the worldwide operations of the Group and, following review, the Committee remains satisfied",overextended,cause,further penetration of the market by the Group's convenient ultra-short course treatment,1373,"Revenue for 2018 is again set to show continued growth at constant currency, driven by further penetration of the market by the Group's convenient ultra-short course treatment.",What is the expected continued growth in revenue at constant currency for 2018 owed to?,cause,True,1,15,15,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X045,c1_v7_candidate_0081,m1_v6_screened_0081,390,"The statutory result for the year after tax, exceptional items and IAS19 interest was a profit of £11.7m (2016: £12.6m). The Group's effective tax rate decreased to 14% (2016: 17%) due to the utilisation of prior year losses and capital allowances.","What is the reason for the decrease in the Group's effective tax rate to 14% this year, compared to 17% in 2016?",the utilisation of prior year losses and capital allowances,the utilisation of prior year losses,incomplete,cause,the challenges faced in the Municipal Division,697,Profit performance for the Group was below threshold as a result of the challenges faced in the Municipal Division.,What caused the profit performance for the Group to be below threshold?,cause,True,1,7,7,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X046,c1_v7_candidate_0150,m1_v6_screened_0150,1549,5 The maximum opportunity for 'single figure' purposes is 200% of salary. 50% of bonus is deferred in shares which vest subject to performance and are therefore defined as a long term incentive.,Why are shares defined as a long term incentive?,50% of bonus is deferred in shares which vest subject to performance,50% of bonus is deferred in shares,incomplete,cause,an asset sale and application of tighter entry criteria,72,"■ ■ Barclays UK: Reduction was driven by UK cards portfolio, where balances on forbearance plans were lower due to an asset sale and application of tighter entry criteria.",What factors drove the lower balances on forbearance plans?,cause,True,1,9,9,0,0.0,0.0,short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X047,c1_v7_candidate_0198,m1_v6_screened_0198,1711,"Premier believes that risk management is just good management, leading to better quality decision-making and improving the likelihood of achieving business objectives. Premier has adopted a framework for risk management based on ISO 31000 principles and guidelines.",What does Premier's belief that risk management is just good management result in?,better quality decision-making and improving the likelihood of achieving business objectives,better quality decision-making,incomplete,effect,Continuous improvement of reporting processes,696,• Continuous improvement of reporting processes as a result of better data capture.,What is the effect of better data capture?,effect,True,1,4,5,1,0.25,0.0,very_short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X048,c1_v7_candidate_0088,m1_v6_screened_0088,1974,"Finance expense increased due to the increased amount of debt and the refinancing during the period. The increase debt reflects the portfolio acquisition in March 2017, with the assumption of £69.4m of bank borrowing and some £35.7m of Zero Dividend Preference shares (""ZDP"") and the £35.7m of additional borrowings.",What drove the increase in finance expense?,the increased amount of debt and the refinancing during the period,the increased amount of debt,incomplete,other,two major contracts in Australia,872,"Asia‑Pacific (APAC) In APAC, constant currency revenue was up 25% with significant increases in both Asia and Australia. However the operating loss was only slightly less than in 2016, largely as a result of two major contracts in Australia, where adverse ground conditions, technical issues and a contractual dispute resulted in a total loss on these contracts of £14m.",What prompted the operating loss to be only slightly less than in 2016?,other,True,1,5,5,0,0.0,0.0,very_short,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X049,c1_v7_candidate_0148,m1_v6_screened_0148,63,Trust in a company provides the licence to operate. Our reputation and the associated trust is driven by how we engage with all our stakeholders and this is vital to building a sustainable business.,What contributes to their reputation and its associated trust?,how we engage with all our stakeholders,how we engage with all our stakeholders and this is vital to building a sustainable business,overextended,other,"IG operates as one of the market makers to the exchange, and faces market risk",524,"Prices for contracts listed on the exchange are provided by market makers, who are also members of the exchange and pay fees for trading. IG operates as one of the market makers to the exchange, and faces market risk as a result of this activity.",What does the IG activity imply?,other,True,1,16,16,0,0.0,0.0,medium,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
C1X050,c1_v7_candidate_0162,m1_v6_screened_0162,69,Heavy delays to new buildings under construction mean that tankers scheduled for delivery in 2016 slipped into 2017 and beyond and resulted in lower overall fleet growth in 2016 than expected.,What do the heavy delays to new buildings under construction imply?,tankers scheduled for delivery in 2016 slipped into 2017 and beyond,tankers scheduled for delivery in 2016 slipped into 2017 and beyond and resulted in lower overall fleet growth in 2016 than expected,overextended,other,the Audit and Risk Committee will be focussed on the Company's IT security in the coming year and will be working closely with the executive to ensure that appropriate safeguards are in place,1270,In light of recent events the Audit and Risk Committee will be focussed on the Company's IT security in the coming year and will be working closely with the executive to ensure that appropriate safeguards are in place.,What will recent events imply?,other,True,1,35,35,0,0.0,0.0,long,valid,"Complete, coherent donor answer; clearly wrong for the target question and not a boundary variant of the chosen answer."
