id;context;question;answer
453;EBITA 1 increased to £22.0m (2016: £14.5m) before central costs of £4.8m (2016: £5.1m). We have introduced a more stringent governance process for capital expenditure decisions, and improved our asset utilisation by c.7% to an average for the year o f 51.5%. As a result, the hire fleet has been has been reduced by 11.4% to £186.8m (2016: £210.8m) including the sale of the Group's heavy plant for a total consideration of £14.4m in September 2016.;What was the consequence of introducing a more stringent governance process for capital expenditure decisions and improving our asset utilization?;the hire fleet has been has been reduced by 11.4% to £186.8m (2016: £210.8m) including the sale of the Group's heavy plant for a total consideration of £14.4m in September 2016
454;As I reflect on the last twelve months, it becomes very evident to me how much we have progressed the ‘Manufacturing our Future' strategy and the extent we have changed as a result of the ‘Repair' phase execution.;What caused the progress in the 'Manufacturing our Future' strategy and the change they have achieved?;the ‘Repair' phase execution
455;Our markets typically grow in line with GDP. Because we are under-represented in a number of geographies, markets and industry sectors, we are aiming to deliver annual growth of GDP plus in the period to 2020.;What is the implication of being under-represented in a number of geographies, markets, and industry sectors?;we are aiming to deliver annual growth of GDP plus in the period to 2020
456;The USA schemes deficit decreased by £37.9 million to £11.1 million (2016: decrease of £6.1 million), primarily as a result of an additional, accelerated employer contribution in December 2017 of £28.0 million (more than offsetting a fall in the discount rate from 4.16% to 3.65%).;What was the reason for the USA schemes deficit decreasing by £37.9 million to £11.1 million in 2017?;an additional, accelerated employer contribution in December 2017 of £28.0 million
457;Historically, the Committee has not granted LTIP awards to the executive directors and does not intend to do so in 2018, due to the large shareholdings of the MD and FD. There are therefore currently no formal LTIP agreements in place for executive directors.;What factors explain the absence of formal LTIP agreements in place for executive directors?;the Committee has not granted LTIP awards to the executive directors and does not intend to do so in 2018, due to the large shareholdings of the MD and FD
458;The Committee considers that the 1.39 times the Final Determination stretch target remains challenging because it requires very significant outperformance on customer ODIs, financing and total expenditure efficiencies.;What is the reason the Committee considers the 1.39 times Final Determination stretch target to remain challenging?;it requires very significant outperformance on customer ODIs, financing and total expenditure efficiencies
459;The award granted to Steve Corcoran under the Company's 2004 Performance Share Plan on 21 June 2013 lapsed in June 2016 as a result of the performance conditions not being met.;What was the effect of failing to meet the performance conditions?;The award granted to Steve Corcoran under the Company's 2004 Performance Share Plan on 21 June 2013 lapsed in June 2016
460;The Melrose Group's annual revenue is heavily denominated in US Dollars, with 82% of revenue being denominated in this currency, and therefore the largest foreign exchange rate exposure is the translation risk from changes in the US Dollar exchange rate relative to Sterling.;What is the effect of 82% of revenue being denominated in US Dollars?;the largest foreign exchange rate exposure
461;We remain committed to managing the Maltby pension scheme over the long term. Given the relative immaturity of the scheme, the optimal strategy is to continue to service the scheme and, hence, going forward we will no longer report the retirement benefit obligation in the Legacy category.;What motivates their decision not to report the retirement benefit obligation in the Legacy category?;Given the relative immaturity of the scheme, the optimal strategy is to continue to service the scheme
462;Revenues and profits fall owing to competitor action. Our detailed market and sector monitoring systems assist effective response to identify early and assist effective response to any competitive or intermediary threats.;What causes revenues and profits to fall?;competitor action
463;However, in light of the significant losses incurred on the East Anglia One project, it was recognised that additional improvements had to be made around project risk reporting, measurement of performance against metrics and feeding lessons learned from previous projects into future bidding activities.;What were the implications of the significant losses incurred on the East Anglia One project?;it was recognised that additional improvements had to be made around project risk reporting, measurement of performance against metrics and feeding lessons learned from previous projects into future bidding activities
464;Fair value is measured using a Black-Scholes model. The expected life used in the model has been adjusted, for the effects of non- transferability, exercise restrictions and behavioural considerations based on management's best estimate.;What was the repercussion of management's best estimate?;The expected life used in the model has been adjusted, for the effects of non- transferability, exercise restrictions and behavioural considerations
465;During the course of its review of the risk management and internal control systems, the Board has not identified nor been advised of any failings or weaknesses which it has determined to be significant. Therefore a confirmation in respect of necessary actions has not been considered appropriate.;Why has a confirmation regarding necessary actions not been deemed appropriate?;During the course of its review of the risk management and internal control systems, the Board has not identified nor been advised of any failings or weaknesses which it has determined to be significant
466;The Committee's foremost priorities are to ensure that the Group has the best possible leadership and to plan for both Executive and Non-Executive Director succession. Its prime focus is, therefore, on composition of the Board, for which appointments will be made on merit against objective criteria.;Why is the Committee's prime focus on the composition of the Board?;The Committee's foremost priorities are to ensure that the Group has the best possible leadership and to plan for both Executive and Non-Executive Director succession
467;Over recent years there has been significant consolidation in our customer base amongst service providers and network equipment manufacturers. This trend continues and often results in delays in spending, thereby reducing demand for Spirent's solutions and services.;What explains the frequent delays in spending?;Over recent years there has been significant consolidation in our customer base amongst service providers and network equipment manufacturers
468;Inferred resources increased, while measured and indicated resources decreased due to depletion and a higher cut-off grade. Gold and silver reserves decreased as a result of the increased cut-off grade.;What is the decrease in gold and silver reserves attributed to?;the increased cut-off grade
469;As a venture capital trust, most of the Company's day-to-day responsibilities are delegated to third parties and the Directors are all non-executive. Thus, not all the provisions of the UK Code are directly applicable to the Company.;What are the implications of having venture capital trust status?;most of the Company's day-to-day responsibilities are delegated to third parties and the Directors are all non-executive
470;We believe that the combination of our increasing customer insight, data capability and membership will be extremely powerful, helping us to focus our efforts on rewarding, retaining and growing our target customer base and deepening our relationship with them.;What will the combination of increasing customer insight, strong data capability, and membership facilitate?;to focus our efforts on rewarding, retaining and growing our target customer base and deepening our relationship with them
471;In 2018 the majority of employees across the Group have received average salary increases ranging from 2.0%–3.25%, dependent on geographical location with the principal exception being those employees based in Brazil, Latin America and China where, due to inflation, current market salary increases are higher.;What factor determined that the majority of employees across the Group received average salary increases ranging from 2.0% to 3.25% in 2018?;geographical location
472;A non-cash impairment charge of £2.9 million was recorded in the Books segment against non-current assets and inventories due to the loss of the HarperCollins contract. Impairment charges of £29.9 million were recorded against the goodwill and non- current assets of businesses within the Marketing Activation segment.;What impact did the loss of the HarperCollins contract have?;A non-cash impairment charge of £2.9 million was recorded in the Books segment against non-current assets and inventories
473;High CEO Board This risk has been reintroduced this year as a result of the on-going challenges in our operating environment and the impact that these external factors may have on our reserves and resources calculation;What factors contributed to the reintroduction of this risk this year?;the on-going challenges in our operating environment and the impact that these external factors may have on our reserves and resources calculation
474;The Group's loss after tax for the year is $7.0 million (2016: profit after tax $0.9 million). The loss for the year was partly driven by increased operating expenses, but also impacted by foreign exchange gains of $8.0 million due to the strengthening of Sterling against the US;What caused the loss for the year?;increased operating expenses, but also impacted by foreign exchange gains of $8.0 million
475;In 2017, the Committee received advice from Deloitte LLP ('Deloitte'), who they appointed in 2015 for their particular expertise both at a local and global level, due to the worldwide operations of the Group and, following review, the Committee remains satisfied that their advice is objective and independent.;What drove the Committee to appoint Deloitte LLP in 2015?;their particular expertise both at a local and global level
476;"The mark-to-market gain on the Group's hedge book of £2,648m (2016: loss of £4,420m). These reflect: the large hedge book held by the Group (circa USD $38.5bn); and the strengthening of sterling, particularly against the US dollar offset by the weakening of sterling against the euro, as noted above. At each year end, our foreign exchange hedge book is included in the balance sheet at fair value (mark-to-market) and the movement in the year included in reported financing costs. Appropriate tax rates are applied to these additional items included in the reported results, leading to an additional tax charge of £361m (2016: credit £865m), largely as a result of the mark-to-market adjustments £(463)m and £792m in 2017 and 2016 respectively. In addition, £163m of advance corporation tax credits has been recognised as a result of changes to UK tax laws in 2017.";What did the mark-to-market adjustments £(463)m and £792m in 2017 and 2016, respectively, lead to?;Appropriate tax rates are applied to these additional items included in the reported results, leading to an additional tax charge of £361m (2016: credit £865m)
477;We remain committed to implementing a Remuneration Policy which retains high calibre Executive Directors and senior managers by rewarding their successful contribution to delivering the Company's strategy and thus aligning with longer‑term interests of shareholders.;"What explains the alignment with the longer-term interests of shareholders?""";We remain committed to implementing a Remuneration Policy which retains high calibre Executive Directors and senior managers by rewarding their successful contribution to delivering the Company's strategy
478;It is also pleasing to report that the net cash has increased to £12.04 million (2016: £7.43 million) which is due to the increase in cash above and despite an increase in finance lease borrowings.;What is the reason the net cash has increased to £12.04 million?;the increase in cash above and despite an increase in finance lease borrowings
479;Total comprehensive income has increased from (£1.1m) to £94.9m. This strong accounting performance is largely due to the deficit relating to the University of Manchester Superannuation Scheme (UMSS) and Greater Manchester Pension Fund (GMPF) pensions not being as large as previously assumed.;What explains the increase in total comprehensive income from (£1.1m) to £94.9m?;the deficit relating to the University of Manchester Superannuation Scheme (UMSS) and Greater Manchester Pension Fund (GMPF) pensions not being as large as previously assumed
480;2 Simon Rowlands appointment was renewed for a further one-year period and a letter of appointment dated 23 July 2017 was issued to him. Due to the senior position Simon Rowlands previously held with Cinven Partners he is considered to be a non-independent Non-Executive Director.;What is the reason for Simon Rowlands being considered to be a non-independent Non-Executive Director?;the senior position Simon Rowlands previously held with Cinven Partners
481;Simplicity and accountability are key to running an agile and successful business. We are therefore changing our operating model to give us two clear profit and loss accountabilities – one for our Clothing & Home business unit and one for our Food business unit.;Why are they changing their operating model?;Simplicity and accountability are key to running an agile and successful business
482;As part of this process, QinetiQ has sought to change its internal operating model, to provide greater efficiency in its offering to key customers and to expand internationally. Against this backdrop of change, it is therefore critical that the Board of Directors provides leadership, guidance and oversight, to ensure that QinetiQ operates a sound system of corporate governance and internal control through effective stewardship and risk management.;What is the reason it is critical for the Board of Directors to provide leadership, guidance, and oversight, given the backdrop of change?;QinetiQ has sought to change its internal operating model, to provide greater efficiency in its offering to key customers and to expand internationally
483;The Company's Articles of Association require that Directors stand for election at the first AGM following their appointment and annually thereafter. Max King, Iain McLaren, Martin Nègre and David Simpson will, therefore, stand for election at the forthcoming AGM.;What explains the future presence of Max King, Iain McLaren, Martin Nègre, and David Simpson at the forthcoming AGM, where they will stand for election?;The Company's Articles of Association require that Directors stand for election at the first AGM following their appointment and annually thereafter
484;The Investment Manager remains focused on delivering a portfolio of properties which benefit from strong supply and demand characteristics, which it believes is the primary driver of rental growth in the sector. Consequently, whilst the Company's portfolio remains London‑centric, from time to time, properties may be added outside;Why may properties be added outside of London from time to time?;The Investment Manager remains focused on delivering a portfolio of properties which benefit from strong supply and demand characteristics, which it believes is the primary driver of rental growth in the sector
485;The Board has concluded that the period for this review should be three years, in line with the usual business planning period. However, last year the company carried out a strategic review covering five years and therefore this year the assessment has been carried out over the remaining four years;Why has the assessment been carried out this year over the remaining four years?;last year the company carried out a strategic review covering five years
486;The weakening of the euro against the US dollar has served to increase the value of these in the year. Working capital (the sum of inventories, trade and other receivables and trade and other payables) was £220.3m, which was 6.2% of sales (annualised) compared with £140.2m at the previous year, 6.8% of sales. The decrease includes the impact of working capital reductions (synergies) made in the acquired companies.;What explains the increase in the value of these currencies?;The weakening of the euro against the US dollar
487;Our clinical platform and disease in motion-based discovery research in flu has enabled us to identify the signalling pathways that we believe are active in severe flu and create a process for identifying what could be the true levers of this disease. Our pioneering work in identifying a drug target for the treatment of severe flu (HVO-001) led to a patent application in 2017, and, if possible, we plan to leverage non-dilutive funding to advance this invention through government grants and collaborations.;What have the clinical platform and disease-in-motion-based discovery research in flu led to?;identify the signalling pathways that we believe are active in severe flu and create a process for identifying what could be the true levers of this disease
488;This has not, however, been a pleasant experience. Sacrifices have had to be made and some tough decisions taken, and as a result, the Group, whilst under the control of the Administrators, had no choice but to sell off one of the internal development programmes to raise the necessary cash;What was the consequence of sacrifices having to be made and some tough decisions being taken?;the Group, whilst under the control of the Administrators, had no choice but to sell off one of the internal development programmes to raise the necessary cash
489;The gross margins have reduced again this year due to the continued tightening in market prices for products we sell to the oil, gas and mining industries, where capital expenditure has been massively reduced due to the substantially low commodity revenues of the companies associated with the products.;What caused the gross margins to reduce again this year?;the continued tightening in market prices for products we sell to the oil, gas and mining industries
490;The Group accounted, for the first time in 2018, for the financial performance arising from the contracts in Argentina on the basis of hyperinflation. The impact on the Division as a result of this change in accounting method was to report lower revenue by €1.8 million, being 0.5% of the 2018 reported revenue of the Division, and lower adjusted operating profit of €0.7 million, being 0.8% of the 2018 adjusted operating profit of the Division. Excluding the results of the programmes in Argentina, the year-to-date organic revenue growth would have been 3.3% and the negative currency impact would have been 1.2%.;What was the effect of the Group accounting for the financial performance arising from the contracts in Argentina on the basis of hyperinflation?;to report lower revenue by €1.8 million, being 0.5% of the 2018 reported revenue of the Division, and lower adjusted operating profit of €0.7 million, being 0.8% of the 2018 adjusted operating profit of the Division
491;The tax paid for the year was $454 million (20% of Reported profit before tax). The cash tax paid for the year was $1,095 million higher than the tax charge for the year as a result of certain items with no cash impact including $617 million deferred tax credit;What was the reason the cash tax paid for the year was $1,095 million higher than the tax charge for the year?;certain items with no cash impact including $617 million deferred tax credit
492;Charges for other provisions of £15.1m (2016: £8.8m) relate mainly to commission clawbacks in the Connells group, which resulted in provisions charges of £11.4m during the year (2016: £5.7m). These arise in the ordinary course of business and have increased since 2016 predominantly as a result of an increase in the volume of business written.;What explains the provision charges of £11.4m during the year compared to 2016's £5.7m?;Charges for other provisions of £15.1m (2016: £8.8m) relate mainly to commission clawbacks in the Connells group
493;Due to its global risk scope, the Integrated Risk Management and Control System is continuously updated to include new risks that might affect the Group as a result of changes in the environment or revised objectives and strategies, as well as updates that arise from lessons learned from monitoring and controlling the system.;Why is the Integrated Risk Management and Control System continuously updated to address new global risks?;changes in the environment or revised objectives and strategies, as well as updates that arise from lessons learned from monitoring and controlling the system
494;The goal is to facilitate decision-making, which is positive for the company since it enhances profitability, predictability and efficiency.;Why is an easier decision-making process beneficial for the company?;it enhances profitability, predictability and efficiency
495;The table below shows the actual expenditure during the year in relation to Directors' remuneration, operating expenses and shareholder distributions. Due to the size of the Fund, the Manager has waived its management fee and the Directors have waived their entitlement to half;What did the size of the fund entail?;the Manager has waived its management fee and the Directors have waived their entitlement to half
496;Financial guarantees issued by BHP Billiton Plc are contracts that require a payment to be made to reimburse the holder for a loss it incurs because the specified debtor fails to comply with the terms of the debt instrument.;What is the reason for a payment being required to the holder of a financial guarantee?;the specified debtor fails to comply with the terms of the debt instrument
497;After making enquiries, the directors have a reasonable expectation that the Group has adequate resources to continue in operational existence for the 12 months from the date of approval of this Annual Report. For this reason, they continue to adopt the going concern basis in preparing the financial statements.;What reason leads them to continue adopting the going concern basis in preparing the financial statements?;After making enquiries, the directors have a reasonable expectation that the Group has adequate resources to continue in operational existence for the 12 months from the date of approval of this Annual Report
498;"This risk has increased during the year due to increased market pressure and evidence of increased ""value for money"" awareness driving consumer choice. A number of initiatives have been undertaken during the year to maintain product competitiveness.";What factor contributed to the risk increasing during the year?;"increased market pressure and evidence of increased ""value for money"" awareness driving consumer choice"
499;To spread the risk where possible contracts exist with more than one supplier for key products. The Group has made a significant investment in its Far East infrastructure to support its direct sourcing operation which allows the development of own brand products, thereby reducing the reliance on branded suppliers.;What caused the ability to develop the Group's own brand products?;The Group has made a significant investment in its Far East infrastructure to support its direct sourcing operation
500;In accordance with the Code (provision C.3.6), the Audit Committee has also considered the need for an internal audit function at the Company. In the light of the simplicity of the Group structure, its single country focus, its relatively straightforward financial model, the internal controls in place and the fact that management and the Board conduct regular financial reviews, the Committee has recommended to the Board that an internal audit function is not currently appropriate for the business.;What factors influenced the Committee's decision to recommend the Board that no internal audit function is currently appropriate for the business?;the simplicity of the Group structure, its single country focus, its relatively straightforward financial model, the internal controls in place and the fact that management and the Board conduct regular financial reviews
501;We chose Tribal because they understand how to balance our need for improved student results with customised instructional support. Tribal consultants challenge teachers and principals to rethink their assumptions and motivate them to take on high impact, strategic school and classroom reforms. Our students are the beneficiaries.;What prompted them to choose Tribal?;they understand how to balance our need for improved student results with customised instructional support
502;Profit before tax decreased by £16.0 million to £78.9 million (FY2016: £94.9 million) principally as a result of exceptional costs totalling £17.7 million (FY2016: exceptional income of £4.3 million), which includes exceptional refinancing costs of £16.3 million, and a reduction in the gain on investment properties by £2.5 million.;What did exceptional costs totaling £17.7 million cause?;Profit before tax decreased by £16.0 million to £78.9 million (FY2016: £94.9 million)
503;As a result of our remuneration review the only key change proposed relates to the introduction of share ownership guidelines. In line with best practice and to ensure long term alignment with shareholders, shareholding guidelines of a minimum of 300% of base salary for the current Chief Executive.;What was the effect of their remuneration review?;the only key change proposed relates to the introduction of share ownership guidelines
504;With the objective of adaptation to new fuel requirements, the project contributes to environmental improvements through the reduction of emissions of sulfur compounds arising from the combustion of gas oils and gasoline produced and sold by R&M Peru.;What are the effects of the project whose objective is the adaptation to new fuel requirements?;environmental improvements through the reduction of emissions of sulfur compounds arising from the combustion of gas oils and gasoline produced and sold by R&M Peru
505;The Board attaches importance to matters set out in the Code and applies its principles. However, as a venture capital trust company, most of the Company's day-to-day responsibilities are delegated to third parties and the Directors are all non-executive.;What is the implication of being a venture capital trust company?;most of the Company's day-to-day responsibilities are delegated to third parties and the Directors are all non-executive
506;The Board considers all non-executive directors to be independent. Andrew Brent will have served on the Board for more than nine years from the date of his first election, and will therefore resign at the conclusion of the Annual General Meeting on 23 January 2018.;What factor explains why Andrew Brent will resign at the conclusion of the Annual General Meeting on 23 January 2018?;Andrew Brent will have served on the Board for more than nine years from the date of his first election
507;£2.5m of these costs (2016: £2.7m) related to setting up our GBS capabilities in Rochester, New York and Wimborne, Dorset. Tax, EPS and dividends The Group's underlying tax rate* in the year increased to 21.6% (2016: 21.1%) owing to reduced credits for prior year adjustments;What was the reason for the increase in the Group's underlying tax rate to 21.6% in the year from 21.1% in 2016?;reduced credits for prior year adjustments
508;The Board is of the opinion that the performance measures and targets for the annual bonus are commercially sensitive and that it would be detrimental to the interests of the Company to disclose them during the financial year. This is particularly so because the majority of our competitors are unlisted.;Why does the Board believe that disclosing the performance measures and targets for the annual bonus during the financial year would be commercially sensitive and detrimental to the Company's interests?;the majority of our competitors are unlisted
509;HL Funds consist of ten Multi-Manager funds, on which the management fee is 75bps per annum, and two Select equity funds, on which the management fee is 60bps. Net revenue from these funds has grown strongly this year due to investment outperformance, rising markets, and the successful launch of the new fund.;What factors explain the strong growth of net revenue from these funds this year?;investment outperformance, rising markets, and the successful launch of the new fund
510;The Audit Committee considers at least once a year whether or not there is a need for an internal audit function. Currently, the Audit Committee does not consider there to be a need for an internal audit function specific to the Company, given that there are no employees in the Company and the systems and procedures employed by the Administrator and Investment Adviser, including their own internal controls and procedures in place in relation to the Company and its subsidiaries, provide sufficient assurance that a sound system of internal control, which safeguards the Company's assets, is maintained.;What factors led the Audit Committee to conclude that there is currently no need for an internal audit function specific to the Company?;there are no employees in the Company and the systems and procedures employed by the Administrator and Investment Adviser, including their own internal controls and procedures in place in relation to the Company and its subsidiaries, provide sufficient assurance that a sound system of internal control, which safeguards the Company's assets, is maintained
511;The performance of the division in 2016/17 is summarised as follows: Offshore Braemar Offshore, our marine warranty surveying and engineering consultancy business located in the Asia Pacific region, was affected considerably by project delays and reduced activity due to the low oil price and reduced exploration and construction activity;What were the main factors affecting Braemar Offshore?;project delays and reduced activity due to the low oil price and reduced exploration and construction activity
512;The Board believes that the composition of the Board and its Committees reflect a suitable mix of skills and experience, and that the Board, as a whole, and its Committees functioned effectively during 2017 and since the launch of the Company in 2013. The Board has employed the use of a skills matrix to identify if there are missing competences and confirmed that the existing Directors held the appropriate range of skills. The skills matrix tool will inform the Directors in the recruitment of any additional or replacement Directors to the Company. The Board considers its composition to be appropriate and hence no such recruitment is currently considered necessary at this time. The Board considers the appropriateness of its composition each year.;What is the consequence of the Board considering its composition to be appropriate?;no such recruitment is currently considered necessary at this time
513;The Defence and Security division achieved an 11.7% increase in operating profit, with increased volumes helped by a step up in the Royal School of Mechanical Engineering (RSME) joint venture which is now in the ninth year of the 30‑year contract.;What facilitated the Defence and Security division's 11.7% increase in operating profit and rise in volumes?;a step up in the Royal School of Mechanical Engineering (RSME) joint venture which is now in the ninth year of the 30‑year contract
514;Interest costs of £0.8m (FY16: £nil) relates to the settlement of interest rate swaps, terminated as a result of a change in Treasury policy.;What factor contributed to the termination of interest rate swaps?;a change in Treasury policy
515;• Recommendation to the Executive Directors that an operational board committee be established. As a result, a structure of executive committees has been set up. Further details are contained in the Corporate Governance report on pages 81 and 82.;What was the reason a structure of executive committees has been set up?;Recommendation to the Executive Directors that an operational board committee be established
516;These performance conditions were selected because the Committee believes that they closely align the LTIP with the strategic aims of the Group to grow its leading brands whilst delivering returns in excess of the cost of capital in order to create significant shareholder value.;Why were these performance conditions selected?;the Committee believes that they closely align the LTIP with the strategic aims of the Group to grow its leading brands whilst delivering returns in excess of the cost of capital in order to create significant shareholder value
517;The significant revenue base in the MA division is due to Biodose Services and the inherent characteristics of its homecare business model. The business model requires high-value medicines to be dispensed and delivered to patients at home, which results in high levels of revenue and costs.;What generated the significant revenue base in the MA division?;Biodose Services and the inherent characteristics of its homecare business model
518;The Group analyses the sensitivity of its net interest income and equity value to changes in interest rates. This sensitivity arises from differences in maturity dates and interest rate repricing gaps in the various balance sheet items.;What are the factors that render net interest income and equity vulnerable to interest rate changes?;differences in maturity dates and interest rate repricing gaps in the various balance sheet items
519;There was strong growth in Dairy products, in Sauces through barrier products as the conversion from glass and metal to plastic continues. On the other hand, the market for Spreads, in which RPC has a strong market position, showed some decline as butter has gained market share.;What explains the decline in the market for Spreads, in which RPC has a strong market position?;butter has gained market share
520;There are no annual bonus outcomes to report in the table as the Admiral DFSS bonus is not structured as a traditional annual bonus scheme and consequently a vesting outcome (as a percentage of max) is meaningless.;Why is a vesting outcome meaningless?;the Admiral DFSS bonus is not structured as a traditional annual bonus scheme
521;The strategic initiatives continued to drive margin improvement across all cost lines and coupled with the sales growth resulted in Group operating profit increasing 27% year-on-year and exceeding the budget target by 11.8%.;What were the consequences of the margin improvements across all cost lines and the sales growth?;Group operating profit increasing 27% year-on-year and exceeding the budget target by 11.8%
522;• Generally the Group operates properties which it owns, and therefore is able to exercise control over the service and product quality of those hotels.;What is the consequence of the Group operating properties they own?;is able to exercise control over the service and product quality of those hotels
523;"The leverage calculation (defined as net debt/EBITDA) will also result in a different ratio as a result of net debt increasing by €181 million and EBITDA increasing by €53 million, but the bank and US Private Placement covenants in place are unaffected as they are all defined at ""frozen GAAP"", which is before applying IFRS 16.";What factors will lead to a different ratio regarding the EBITDA?;net debt increasing by €181 million and EBITDA increasing by €53 million
524;Prices for contracts listed on the exchange are provided by market makers, who are also members of the exchange and pay fees for trading. IG operates as one of the market makers to the exchange, and faces market risk as a result of this activity.;What does the IG activity imply?;IG operates as one of the market makers to the exchange, and faces market risk
525;However, 2016 marked a turning point with commodity prices recovering and some stocks more than doubling in aggregate over the course of the year, and thus driving relative underperformance.;What factors contributed to the relative underperformance?;2016 marked a turning point with commodity prices recovering and some stocks more than doubling in aggregate over the course of the year
526;Administration expenses increased by £3.0 million in 2017 to £41.6 million, primarily due to increased headcount in Spain partially offset by a cost reduction programme in the second half of the year from which we will beneﬁt in 2018.;What was the effect of the increase in headcount in Spain?;Administration expenses increased by £3.0 million in 2017 to £41.6 million
527;This planning has enabled us to recruit very high calibre candidates to the Board, with diverse skills and expertise. Succession planning has therefore been a particular area of focus during the year and we continue to keep this under active review.;What has the planning facilitated?;to recruit very high calibre candidates to the Board, with diverse skills and expertise
528;The results of the group for the year reflect the significant impact of changes in mortality assumptions and US corporate tax, which were not factored into the original targets. The Committee therefore discussed whether the AVP outturns were truly reflective of the group's performance overall.;What prompted the Committee to discuss whether the AVP outturns were truly reflective of the group's performance overall?;The results of the group for the year reflect the significant impact of changes in mortality assumptions and US corporate tax, which were not factored into the original targets
529;These values are embedded in our Group Management Code and driven by tone-from-the-top. The Audit Committee supervised the revision and updating of the Group Management Code, which sets out our adherence to ethical business behaviour.;What are the embedded values in the Group Management Code owed to?;tone-from-the-top
530;Our people are our greatest asset and managing our talent appropriately contributes significantly to our success. During 2017 we continued to strengthen our highly committed team. Through the attraction and recruitment of new talent and the ongoing development of existing expertise, we continued to embed a culture of achievement in the organisation. This has resulted in employees feeling valued for their contribution as part of a team working towards the same goals. Brit is focused on the FCA's six consumer outcomes and the fair treatment of customers is at the heart of our business model.;What has led to employees feeling valued for their contributions towards achieving shared goals within their working team?;Through the attraction and recruitment of new talent and the ongoing development of existing expertise, we continued to embed a culture of achievement in the organisation
531;• Market liquidity risk. Risk when a Group entity or the Group as a whole cannot reverse or close a position in time without having an impact on the market price or the cost of the transaction. Market liquidity risk is caused by a reduction in the number of market makers or institutional investors, the execution of a large volume of transactions, or market instability. It increases as a result of the concentration of certain products and currencies.;What does market liquidity risk stem from?;a reduction in the number of market makers or institutional investors, the execution of a large volume of transactions, or market instability
532;• No malus or clawback provisions apply to base salary, because natural malus and clawback are built into the structure as described in the Notes to the Policy table. • There is no set maximum monetary value for the salary of Executive Directors.;What accounts for the absence of malus or clawback provisions applied to base salary?;natural malus and clawback are built into the structure as described in the Notes to the Policy table
533;The impact will be the loss of market share due to a new competitor and reduced profitability and cash flow.;What will cause the loss of market share?;a new competitor and reduced profitability and cash flow
534;Risk Management Framework Operating in the construction industry, risk is at the heart of everything we do. We therefore have well-embedded risk and control processes in place to manage both material and day-to-day circumstances.;What factor leads to risk being at the heart of everything they do?;Operating in the construction industry
535;As Hilton operate in a number of geographies remuneration practices vary across the Group. However, employee remuneration policies are based on the same broad principles and the remuneration policy for the Executive Directors is designed with regard to the policy for employees as a whole.;What is the effect of Hilton operating in a number of geographies?;remuneration practices vary across the Group
536;The PCAOB auditing standards are US standards that registered public accounting ﬁrms are required to follow in connection with the audit of Micro Focus' consolidated financial statements. As a result of the work undertaken, certain deficiencies in Micro Focus' internal controls for the purposes of Section 404 have been identified.;What have been the consequences of the work undertaken?;certain deficiencies in Micro Focus' internal controls for the purposes of Section 404 have been identified
537;Actual EBIT performance for 2017 was £9.7m and as a result no bonuses were payable in respect of the 2017 financial year.;What was the consequence of actual EBIT performance for 2017 being £9.7m?;no bonuses were payable in respect of the 2017 financial year
538;The last of such awards were granted in December 2015 and the majority date from before the flotation on AIM in December 2014. For this reason, a new scheme is being introduced in the 2018 financial year for the benefit of employees other than the CEO, CFO and other members of the senior management team.;What is the outcome of granting the last of such awards in December 2015 and the majority dating from before the flotation on AIM in December 2014?;a new scheme is being introduced in the 2018 financial year for the benefit of employees other than the CEO, CFO and other members of the senior management team
539;As a result of the performance evaluation process carried out in 2017, the Board concluded that both it and its Committees are operating effectively.;What caused the Board to conclude that both it and its Committees are operating effectively?;the performance evaluation process carried out in 2017
540;"The value of the October 2013 Bonus-Linked Shares vesting was £325,098.45 for Dave Shemmans, and £148,082.29 for Mark Garrett inclusive of an additional compensatory cash payment (Dave Shemmans: £4,468.25; Mark Garrett: £2,035.29) made because, due to a technical timing issue, these awards did not receive any benefit from the November 2016 final dividend.";What was the reason these awards did not receive any benefit from the November 2016 final dividend?;a technical timing issue
541;Performance Share Plan (PSP) Rewards the achievement of sustained long-term financial performance and shareholder returns and is therefore aligned with the delivery of value to shareholders.;Why are Performance Share Plan (PSP) aligned with the delivery of value to shareholders?;Performance Share Plan (PSP) Rewards the achievement of sustained long-term financial performance and shareholder returns
542;Because the Policy is not subject to a shareholder vote at the 2018 AGM, we have not included it in full in this year's Directors' Remuneration Report. We have set out below the parts of the Policy that we consider shareholders will find most useful;What caused the omission of details in this year's Directors' Remuneration Report?;the Policy is not subject to a shareholder vote at the 2018 AGM
543;We have built many strong relationships with lenders and developed their confidence in our operating platform which is why they continue to lend to us on favourable terms. The current debt in place is well diversified with facilities from six lenders as at 31 March 2017;What is the reason they continue to lend to us on favourable terms?;We have built many strong relationships with lenders and developed their confidence in our operating platform
